,Medium,Classification,Culture,Object Begin Date,Historical Period,height,diam,width,depth
6553,glass,Glass,Roman,-670,Antiquity,0.6,-1.0,1.3,2.1
5638,bronze,Bronzes,Cypriot,-3900,Antiquity,-1.0,15.4,-1.0,-1.0
12456,bronze,Bronzes,Roman,1,Antiquity,-1.0,13.5,-1.0,-1.0
5906,terracotta,Vases,Minoan,-2600,Antiquity,4.0,-1.0,6.8,1.5
3497,bronze,Metalwork,Hattian,-2300,Antiquity,13.34,-1.0,5.87,-1.0
2751,terracotta,Vases,Roman,-670,Antiquity,-1.0,-1.0,-1.0,-1.0
5652,bronze,Metalwork,China,-1033,Antiquity,-1.0,-1.0,-1.0,-1.0
13092,terracotta,Vases,Etruscan,-570,Antiquity,13.2,-1.0,14.4,-1.0
7750,glass,Gems,Roman,-99,Antiquity,1.3,-1.0,1.1,0.2
7311,terracotta,Terracottas,Roman,40,Antiquity,2.5,-1.0,8.3,-1.0
10412,gold,Metal,Calima,400,Antiquity,-1.0,20.3,-1.0,-1.0
8460,glass,Glass,Roman,-99,Antiquity,0.8,-1.0,2.6,-1.0
10922,bronze,Coins,Roman,-225,Antiquity,-1.0,3.5,-1.0,-1.0
264,"alloy,copper,silver",Equestrian,Gallo-Roman,101,Antiquity,-1.0,-1.0,5.1,5.1
5949,glass,Glass,Roman,-25,Antiquity,-1.0,6.7,-1.0,-1.0
7967,glass,Glass,Roman,100,Antiquity,-1.0,4.0,-1.0,-1.0
2857,terracotta,Vases,Italic-Native,-399,Antiquity,-1.0,-1.0,-1.0,-1.0
563,bronze,Bronzes,Roman or later,-670,Antiquity,-1.0,6.0,-1.0,-1.0
7610,terracotta,Vases,Greek,-800,Antiquity,-1.0,5.3,-1.0,-1.0
4910,cotton,Textiles,Paracas,-500,Antiquity,4.75,-1.0,35.56,-1.0
8140,glass,Glass,Egyptian,-99,Antiquity,-1.0,3.8,-1.0,-1.0
12644,terracotta,Vases,Greek,-299,Antiquity,36.5,-1.0,29.1,-1.0
1632,terracotta,Ceramics,Pakistan,250,Antiquity,5.1,-1.0,5.1,1.0
4230,terracotta,Vases,Greek,-399,Antiquity,5.4,-1.0,3.6,-1.0
1414,glass,Glass,Roman,1,Antiquity,5.4,-1.0,-1.0,-1.0
2978,bronze,Bronzes,Italic,-800,Antiquity,-1.0,10.2,-1.0,-1.0
538,bronze,Bronzes,Etruscan or Praenestine,-299,Antiquity,19.4,-1.0,-1.0,-1.0
8389,terracotta,Vases,Greek,-520,Antiquity,-1.0,-1.0,-1.0,-1.0
4815,color,Tomb,China,386,Antiquity,22.9,-1.0,-1.0,-1.0
1083,terracotta,Vases,Greek,-620,Antiquity,7.0,-1.0,-1.0,-1.0
7210,bronze,Bronzes,Etruscan,-550,Antiquity,6.4,-1.0,-1.0,-1.0
28,silver,Metalwork,Roman,250,Antiquity,2.4,-1.0,2.3,0.6
4195,copper,Metalwork,Indonesia,-500,Antiquity,19.1,-1.0,23.5,-1.0
784,silk,Textiles,China,1,Antiquity,-1.0,-1.0,-1.0,-1.0
8190,bronze,Bronzes,Greek,-550,Antiquity,-1.0,15.7,-1.0,-1.0
5660,gold,Gems,Cypriot,-525,Antiquity,-1.0,1.8,-1.0,-1.0
280,terracotta,Vases,Etruscan,-700,Antiquity,-1.0,5.7,-1.0,-1.0
5010,terracotta,Vases,Minoan,-2300,Antiquity,7.0,-1.0,10.2,-1.0
11270,terracotta,Terracottas,Cypriot,-600,Antiquity,16.7,-1.0,-1.0,-1.0
525,terracotta,Vases,Greek,-550,Antiquity,-1.0,-1.0,-1.0,-1.0
10704,terracotta,Vases,Greek,-460,Antiquity,7.6,-1.0,7.1,-1.0
6924,glass,Glass,Roman,0,Antiquity,2.2,-1.0,3.8,-1.0
8614,bronze,Bronzes,Etruscan,-550,Antiquity,12.6,-1.0,-1.0,-1.0
1270,terracotta,Vases,East,-1050,Antiquity,2.0,-1.0,1.3,-1.0
923,gold,Gems,Cypro-Greek,-500,Antiquity,-1.0,-1.0,-1.0,-1.0
10030,terracotta,Vases,Greek,-799,Antiquity,-1.0,7.1,-1.0,-1.0
8084,gold,Gold,Etruscan,-399,Antiquity,2.5,-1.0,1.0,1.4
9494,glass,Glass,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
13097,glass,Glass,Roman,1,Antiquity,-1.0,9.0,-1.0,-1.0
11856,terracotta,Vases,Greek,-799,Antiquity,7.49,-1.0,-1.0,-1.0
2744,terracotta,Terracottas,Cypriot,-399,Antiquity,-1.0,6.8,-1.0,-1.0
4515,gold,Gold,Greek,-599,Antiquity,6.8,-1.0,6.7,0.6
4345,glass,Glass,Roman,4,Antiquity,11.5,-1.0,4.4,2.7
257,terracotta,Vases,Etruscan,-420,Antiquity,-1.0,12.4,-1.0,-1.0
2204,terracotta,Vases,Etruscan,-540,Antiquity,35.0,-1.0,-1.0,-1.0
6815,silk,Textiles,Japan,0,Antiquity,22.9,-1.0,4.8,-1.0
781,terracotta,Terracottas,Greek,-299,Antiquity,17.1,-1.0,-1.0,-1.0
7938,gold,Metal,Zenú,1,Antiquity,-1.0,-1.0,4.4,-1.0
12847,glass,Glass,Roman,-25,Antiquity,2.7,-1.0,1.2,-1.0
461,"gilt,silver",Metalwork,Late,395,Antiquity,6.0,-1.0,4.5,0.7
12901,gold,Metalwork,Iran,-900,Antiquity,2.3,-1.0,0.9,0.9
11311,porcelain,Ceramics,Korea,400,Antiquity,22.2,12.1,-1.0,-1.0
1443,terracotta,Vases,Greek,-450,Antiquity,8.1,-1.0,3.5,6.8
4833,"alloy,copper",Metalwork,Bactria-Margiana,-2300,Antiquity,-1.0,1.91,-1.0,-1.0
6452,"iron,silver",Metalwork,Frankish,300,Antiquity,7.6,-1.0,4.9,1.7
9597,terracotta,Vases,Greek,-350,Antiquity,-1.0,12.4,-1.0,-1.0
12075,bronze,Bronzes,Etruscan,-460,Antiquity,-1.0,5.2,-1.0,-1.0
13369,terracotta,Vases,Greek,-899,Antiquity,-1.0,12.5,-1.0,-1.0
13295,glass,Glass,Roman,300,Antiquity,-1.0,8.3,-1.0,-1.0
1290,terracotta,Terracottas,Cypriot,-599,Antiquity,20.5,-1.0,-1.0,-1.0
10386,terracotta,Ceramics,Pakistan,250,Antiquity,8.9,-1.0,8.9,-1.0
9301,terracotta,Vases,Italic,-399,Antiquity,8.6,-1.0,-1.0,-1.0
12492,glass,Glass,Greek,-550,Antiquity,-1.0,3.1,-1.0,-1.0
1958,bronze,Bronzes,Greek,-499,Antiquity,22.0,-1.0,-1.0,-1.0
3550,bronze,Metalwork,Sasanian,200,Antiquity,1.6,-1.0,1.8,-1.0
6592,terracotta,Terracottas,Roman,300,Antiquity,3.5,-1.0,7.9,-1.0
2048,bronze,Bronzes,Greek,-425,Antiquity,-1.0,-1.0,-1.0,-1.0
12065,terracotta,Vases,Minoan,-2600,Antiquity,10.9,-1.0,6.2,0.5
8946,terracotta,Vases,Greek,-360,Antiquity,14.8,-1.0,5.4,-1.0
8130,glass,Glass,Roman,200,Antiquity,7.5,-1.0,4.8,-1.0
6012,terracotta,Vases,Greek,-530,Antiquity,5.5,-1.0,21.6,-1.0
10714,bronze,Bronzes,Italic,-600,Antiquity,-1.0,8.9,-1.0,-1.0
11228,terracotta,Vases,Greek,-520,Antiquity,-1.0,41.7,-1.0,-1.0
5648,bronze,Jewelry,Thailand,-500,Antiquity,10.2,9.5,-1.0,-1.0
4440,glass,Glass,Roman,300,Antiquity,-1.0,11.7,-1.0,-1.0
613,terracotta,Terracottas,Cypriot,-600,Antiquity,14.4,-1.0,-1.0,-1.0
11299,terracotta,Vases,Greek,-460,Antiquity,3.1,-1.0,6.8,0.4
9975,terracotta,Terracottas,Greek,-425,Antiquity,-1.0,9.2,-1.0,-1.0
172,gold,Gold,Greek,-500,Antiquity,-1.0,-1.0,-1.0,-1.0
2698,terracotta,Metalwork,Thailand,-300,Antiquity,8.3,10.2,-1.0,-1.0
12938,bronze,Shafted,Japanese,-25,Antiquity,-1.0,-1.0,13.3,85.1
9674,terracotta,Terracottas,Greek,-299,Antiquity,12.7,-1.0,-1.0,-1.0
6978,terracotta,Vases,Cypriot,-1600,Antiquity,-1.0,15.1,-1.0,-1.0
12968,bronze,Bronzes,Cypriot,-3900,Antiquity,-1.0,6.7,-1.0,-1.0
2814,gold,Metalwork,East,200,Antiquity,2.2,-1.0,1.2,-1.0
1855,bronze,Bronzes,Greek or Roman,-99,Antiquity,25.4,-1.0,-1.0,-1.0
4273,terracotta,Vases,Cypriot,-1600,Antiquity,4.1,-1.0,-1.0,-1.0
8097,terracotta,Terracottas,Greek,-299,Antiquity,17.5,-1.0,-1.0,-1.0
7270,terracotta,Terracottas,Roman,-27,Antiquity,46.4,-1.0,36.8,6.4
12561,"ink,paper",Rubbing,China,0,Antiquity,32.1,-1.0,129.5,-1.0
3240,glass,Glass,Roman,1,Antiquity,2.1,-1.0,5.1,-1.0
1620,glass,Glass,Roman,300,Antiquity,13.0,-1.0,-1.0,-1.0
7649,terracotta,Terracottas,Greek,-599,Antiquity,22.9,-1.0,20.6,-1.0
11464,terracotta,Vases,Cypriot,-1900,Antiquity,16.0,-1.0,-1.0,-1.0
5491,bronze,Bronzes,Roman,248,Antiquity,7.5,-1.0,6.2,-1.0
10163,terracotta,Vases,Helladic,-1400,Antiquity,19.7,-1.0,-1.0,-1.0
12050,terracotta,Vases,Greek,-399,Antiquity,-1.0,11.3,-1.0,-1.0
7041,gold,Gold,Greek or Roman,1,Antiquity,1.0,-1.0,5.1,0.1
5447,terracotta,Vases,Greek,-490,Antiquity,-1.0,33.0,-1.0,-1.0
5106,glass,Glass,Roman,-25,Antiquity,2.0,-1.0,3.1,-1.0
3735,copper,Metalwork,India,-1500,Antiquity,35.6,-1.0,6.7,-1.0
9263,bronze,Metalwork,Iran,-1000,Antiquity,-1.0,10.31,-1.0,-1.0
12359,gold,Shell,Iran,-900,Antiquity,-1.0,6.4,-1.0,-1.0
11748,glass,Glass,Sasanian,200,Antiquity,-1.0,5.72,-1.0,-1.0
1573,glass,Glass,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
7269,terracotta,Terracottas,Cypriot,-600,Antiquity,22.1,-1.0,-1.0,-1.0
6860,glass,Glass,Roman,1,Antiquity,9.1,-1.0,-1.0,-1.0
7273,terracotta,Vases,Mycenaean,-1375,Antiquity,16.4,-1.0,-1.0,-1.0
8472,bronze,Bronzes,Etruscan,-550,Antiquity,-1.0,-1.0,-1.0,-1.0
6914,gold,Gold,Etruscan,-599,Antiquity,-1.0,-1.0,-1.0,-1.0
5093,terracotta,Vases,Greek,-399,Antiquity,7.9,-1.0,4.1,-1.0
595,glass,Glass,Roman,1,Antiquity,-1.0,16.5,-1.0,-1.0
5577,glass,Glass,Roman,300,Antiquity,20.8,-1.0,-1.0,-1.0
8381,terracotta,Vases,Greek,-525,Antiquity,11.8,-1.0,20.8,0.9
9734,bronze,Bronzes,Greek,-500,Antiquity,75.6,-1.0,-1.0,-1.0
9310,terracotta,Vases,Greek,-430,Antiquity,8.4,-1.0,-1.0,-1.0
198,terracotta,Sculpture,Pakistan,100,Antiquity,7.1,-1.0,-1.0,-1.0
295,bronze,Bronzes,Greek,-575,Antiquity,7.9,-1.0,-1.0,-1.0
6810,gold,Metal,Zenú,1,Antiquity,-1.0,-1.0,-1.0,-1.0
12939,silver,Coins,Roman,176,Antiquity,1.9,-1.0,0.2,-1.0
9573,"alloy,copper",Metalwork,Roman,1,Antiquity,7.8,-1.0,2.0,2.4
2299,glass,Glass,Roman,-670,Antiquity,1.9,-1.0,2.5,-1.0
1296,gold,Gold,Greek,-630,Antiquity,2.2,-1.0,-1.0,-1.0
6284,glass,Glass,Coptic,300,Antiquity,2.8,-1.0,6.6,-1.0
11833,terracotta,Vases,Roman,-120,Antiquity,7.4,-1.0,8.0,1.3
9945,glass,Glass,Roman,200,Antiquity,-1.0,-1.0,-1.0,-1.0
10266,iron,Sword,Japanese,275,Antiquity,10.2,-1.0,8.9,-1.0
12787,bronze,Bronzes,Cypriot,-399,Antiquity,-1.0,2.2,-1.0,-1.0
5459,terracotta,Vases,Minoan,-1600,Antiquity,28.6,-1.0,-1.0,-1.0
10588,terracotta,Vases,Cypriot,-750,Antiquity,-1.0,7.3,-1.0,-1.0
2583,gold,Metal,Nasca,-100,Antiquity,-1.0,-1.0,-1.0,-1.0
10684,terracotta,Vases,Greek,-299,Antiquity,36.8,-1.0,-1.0,-1.0
9219,terracotta,Terracottas,Roman,1,Antiquity,2.9,-1.0,10.3,-1.0
5429,terracotta,Vases,Greek,-515,Antiquity,-1.0,-1.0,-1.0,-1.0
7258,glass,Glass,Roman,300,Antiquity,20.5,-1.0,-1.0,-1.0
10943,terracotta,Ceramics,Baluchistan,-2700,Antiquity,12.1,-1.0,3.8,-1.0
9386,bronze,Metalwork,Thailand,-300,Antiquity,-1.0,-1.0,-1.0,27.1
1697,bronze,Bronzes,Roman,-99,Antiquity,-1.0,68.2,-1.0,-1.0
8728,"bronze,silver",Bronzes,Greek,-425,Antiquity,41.6,-1.0,-1.0,-1.0
8933,terracotta,Vases,Roman,-10,Antiquity,18.4,-1.0,-1.0,-1.0
11235,terracotta,Vases,Greek,-330,Antiquity,-1.0,13.3,-1.0,-1.0
11525,bronze,Metalwork,China,-100,Antiquity,10.8,-1.0,-1.0,-1.0
2362,glass,Glass,Roman,200,Antiquity,8.7,7.6,-1.0,-1.0
8486,terracotta,Vases,Greek,-399,Antiquity,15.6,-1.0,-1.0,-1.0
1054,terracotta,Vases,Roman,-670,Antiquity,-1.0,4.5,-1.0,-1.0
2009,bronze,Bronzes,Italic,-899,Antiquity,-1.0,2.9,-1.0,-1.0
8673,glass,Glass,Roman,1,Antiquity,-1.0,-1.0,-1.0,-1.0
7924,bronze,Metalwork,Iran,-800,Antiquity,5.7,-1.0,3.2,-1.0
10354,glass,Glass,Roman,200,Antiquity,0.7,-1.0,2.6,-1.0
5787,glass,Glass,Phoenician or Carthaginian,-399,Antiquity,-1.0,18.5,-1.0,-1.0
2724,"alloy,copper,iron",Metalwork,Roman,1,Antiquity,3.1,-1.0,2.4,0.9
6031,"bronze,silver",Enamels,Roman,100,Antiquity,6.8,-1.0,2.2,2.9
5576,glass,Glass,Coptic,300,Antiquity,2.5,-1.0,2.1,1.2
3250,glass,Glass,Roman,300,Antiquity,17.2,-1.0,-1.0,-1.0
1754,glass,Glass,Roman,-670,Antiquity,0.8,-1.0,1.2,-1.0
3479,bronze,Bronzes,Greek,-499,Antiquity,-1.0,-1.0,-1.0,-1.0
4882,bronze,Bronzes,Cypriot,-1250,Antiquity,-1.0,-1.0,-1.0,-1.0
2884,terracotta,Vases,Roman,-120,Antiquity,4.3,-1.0,6.7,0.6
4406,terracotta,Vases,Minoan,-2600,Antiquity,4.9,-1.0,4.2,1.0
3048,bronze,Sculpture,Pakistan,250,Antiquity,57.8,-1.0,19.1,-1.0
7776,bronze,Metalwork,China,-499,Antiquity,6.4,-1.0,-1.0,11.4
2958,terracotta,Terracottas,Greek,-324,Antiquity,18.0,-1.0,-1.0,-1.0
12817,bronze,Bronzes,Roman,1,Antiquity,9.4,-1.0,-1.0,-1.0
5395,silver,Metalwork,Achaemenid,-500,Antiquity,-1.0,10.0,-1.0,-1.0
12283,terracotta,Vases,Cypriot,-3200,Antiquity,8.9,-1.0,-1.0,-1.0
12495,gold,Metal,Salinar,-100,Antiquity,-1.0,3.5,-1.0,-1.0
13206,bronze,Mirrors,China,-200,Antiquity,-1.0,17.8,-1.0,-1.0
3233,terracotta,Terracottas,Greek,-199,Antiquity,7.9,-1.0,8.9,-1.0
3095,terracotta,Terracottas,Cypriot,-600,Antiquity,14.5,-1.0,-1.0,-1.0
12219,silver,Lacquer,China,100,Antiquity,6.0,8.5,6.7,8.8
2174,glass,Glass,Roman,300,Antiquity,-1.0,11.8,-1.0,-1.0
6716,terracotta,Vases,Minoan,-2600,Antiquity,3.4,-1.0,3.2,0.3
9149,terracotta,Vases,Lydian,-599,Antiquity,24.2,-1.0,-1.0,-1.0
1605,bronze,Metalwork,Sasanian,6,Antiquity,-1.0,-1.0,-1.0,-1.0
11423,bronze,Metalwork,China,0,Antiquity,3.5,-1.0,-1.0,43.2
3403,terracotta,Vases,Mycenaean,-1400,Antiquity,5.3,-1.0,7.1,1.0
2358,silver,Coins,Roman,-50,Antiquity,1.9,-1.0,0.3,-1.0
11623,"bronze,gold",Metalwork,China,-200,Antiquity,14.4,-1.0,4.3,-1.0
5830,terracotta,Vases,Greek,-550,Antiquity,-1.0,14.3,-1.0,-1.0
7855,terracotta,Terracottas,Roman,50,Antiquity,2.5,-1.0,8.3,-1.0
6294,glass,Glass,Roman,200,Antiquity,3.2,-1.0,7.3,3.5
13388,terracotta,Vases,Roman,-670,Antiquity,-1.0,9.7,-1.0,-1.0
13285,bronze,Bronzes,Cretan,-1100,Antiquity,5.1,-1.0,-1.0,-1.0
5021,terracotta,Vases,Greek,-480,Antiquity,34.8,-1.0,-1.0,-1.0
545,glass,Glass,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
870,terracotta,Terracottas,Cypriot,-600,Antiquity,8.9,-1.0,-1.0,-1.0
1715,gold,Metalwork,Roman,-99,Antiquity,-1.0,6.4,-1.0,-1.0
5344,terracotta,Vases,Cypriot,-1900,Antiquity,-1.0,15.2,-1.0,-1.0
4803,terracotta,Terracottas,Greek,-320,Antiquity,-1.0,-1.0,-1.0,-1.0
4447,bronze,Bronzes,Greek,-199,Antiquity,6.6,-1.0,-1.0,-1.0
9280,terracotta,Terracottas,Cypriot,-600,Antiquity,23.8,-1.0,-1.0,-1.0
9702,terracotta,Terracottas,Greek,-299,Antiquity,19.4,-1.0,-1.0,-1.0
11908,metal,Metalwork,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
8137,terracotta,Vases,Cypriot,-1200,Antiquity,15.9,-1.0,-1.0,-1.0
11668,terracotta,Vases,Greek,-475,Antiquity,13.1,-1.0,-1.0,-1.0
5804,"alloy,copper,glass",Metalwork,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
9086,bronze,Metalwork,China,-475,Antiquity,15.4,-1.0,-1.0,-1.0
4165,terracotta,Vases,East,-900,Antiquity,17.7,-1.0,14.2,-1.0
6720,glass,Glass,Roman,1,Antiquity,-1.0,-1.0,-1.0,-1.0
8226,terracotta,Vases,Greek,-699,Antiquity,5.2,-1.0,-1.0,-1.0
12622,terracotta,Vases,Minoan,-2600,Antiquity,5.5,-1.0,8.8,6.3
5109,terracotta,Terracottas,Roman,1,Antiquity,20.6,-1.0,-1.0,-1.0
2496,bronze,Metalwork,China,-799,Antiquity,12.1,15.9,-1.0,-1.0
3644,terracotta,Vases,Cypriot,-750,Antiquity,26.4,-1.0,-1.0,-1.0
12053,"bronze,gold",Gold,Cypriot,-3900,Antiquity,6.3,-1.0,7.1,0.6
1235,bronze,Metalwork,China,-206,Antiquity,8.3,-1.0,5.1,-1.0
6786,bronze,Bronzes,Roman,1,Antiquity,7.0,-1.0,-1.0,-1.0
9689,terracotta,Vases,Cypriot,-1900,Antiquity,-1.0,26.9,-1.0,-1.0
10689,terracotta,Vases,Greek,-490,Antiquity,61.0,-1.0,-1.0,-1.0
11085,bronze,Metalwork,North,-499,Antiquity,3.8,-1.0,6.4,-1.0
10273,glass,Glass,Sasanian,200,Antiquity,11.43,-1.0,10.16,-1.0
3231,glass,Glass,Greek,-399,Antiquity,0.7,-1.0,0.9,-1.0
8281,"alloy,copper",Metalwork,Bactria-Margiana,-2300,Antiquity,0.71,-1.0,1.8,-1.0
7551,bronze,Bronzes,Etruscan,-300,Antiquity,7.6,-1.0,-1.0,-1.0
6983,bronze,Bronzes,Cypriot,-3900,Antiquity,-1.0,3.0,-1.0,-1.0
8581,terracotta,Vases,Greek,-440,Antiquity,-1.0,29.7,-1.0,-1.0
3427,terracotta,Vases,Greek,-425,Antiquity,11.9,-1.0,-1.0,-1.0
9957,glass,Glass,Roman,200,Antiquity,-1.0,3.6,-1.0,-1.0
10142,terracotta,Vases,Etruscan,-499,Antiquity,-1.0,43.0,-1.0,-1.0
4765,glass,Glass,Roman,3,Antiquity,8.9,-1.0,-1.0,-1.0
12227,bronze,Bronzes,Greek,-199,Antiquity,-1.0,-1.0,-1.0,11.3
4875,bronze,Metalwork,Iran,-1000,Antiquity,7.75,-1.0,5.46,-1.0
1172,terracotta,Vases,Greek,-360,Antiquity,9.0,-1.0,5.7,-1.0
6769,terracotta,Terracottas,Lydian,-599,Antiquity,20.5,-1.0,12.7,-1.0
1861,glass,Glass,Roman,-25,Antiquity,1.7,-1.0,2.9,-1.0
5627,terracotta,Terracottas,Cypriot,-480,Antiquity,7.0,-1.0,-1.0,-1.0
13139,glass,Glass,Greek,-150,Antiquity,8.6,14.6,-1.0,-1.0
9161,bronze,Bronzes,Roman,-50,Antiquity,17.8,-1.0,-1.0,-1.0
6176,terracotta,Vases,Cypriot,-750,Antiquity,-1.0,35.4,-1.0,-1.0
3572,silk,Textiles,China,0,Antiquity,3.8,-1.0,8.3,-1.0
7653,"bronze,copper",Metalwork,Hattian,-2300,Antiquity,24.77,-1.0,3.18,-1.0
9745,silk,Textiles,Japan,0,Antiquity,19.1,-1.0,11.4,-1.0
5001,glass,Glass,Roman,-99,Antiquity,0.7,-1.0,2.0,-1.0
1365,glass,Glass,Roman,200,Antiquity,-1.0,-1.0,-1.0,-1.0
6915,"gilt,silver",Gold,Greek,-425,Antiquity,-1.0,22.4,-1.0,-1.0
3589,terracotta,Vases,Greek,-500,Antiquity,18.8,-1.0,-1.0,-1.0
10403,terracotta,Vases,Roman,-670,Antiquity,-1.0,-1.0,-1.0,-1.0
6244,glass,Glass,Roman,100,Antiquity,-1.0,5.4,-1.0,-1.0
2270,bronze,Metalwork,Iran,-800,Antiquity,7.8,-1.0,8.15,2.0
6879,wood,Woodwork,Coptic,300,Antiquity,-1.0,-1.0,-1.0,-1.0
1228,bronze,Bronzes,Roman,75,Antiquity,-1.0,-1.0,-1.0,31.8
12585,gold,Gold,Greek,-299,Antiquity,1.9,-1.0,1.0,2.3
2781,gold,Gold,Cypriot,-1600,Antiquity,-1.0,3.7,-1.0,-1.0
6920,bronze,Metalwork,Iran,-2000,Antiquity,2.59,-1.0,5.69,-1.0
8768,terracotta,Vases,Cypriot,-150,Antiquity,-1.0,23.2,-1.0,-1.0
3961,bronze,Metalwork,Northeast,-799,Antiquity,10.2,-1.0,9.5,-1.0
5100,terracotta,Vases,Cypriot,-1900,Antiquity,13.8,-1.0,-1.0,-1.0
12771,terracotta,Terracottas,Roman,-99,Antiquity,-1.0,9.2,-1.0,-1.0
9438,glass,Gems,Roman,-670,Antiquity,1.1,-1.0,0.2,-1.0
1202,terracotta,Vases,Cypriot,-750,Antiquity,-1.0,19.5,-1.0,-1.0
5273,terracotta,Vases,Minoan,-1450,Antiquity,3.8,-1.0,5.7,-1.0
13346,terracotta,Vases,Cypriot,-750,Antiquity,-1.0,20.6,-1.0,-1.0
2446,terracotta,Vases,Greek,-500,Antiquity,11.0,-1.0,6.0,-1.0
